infusion pump,brand,21-Dec,22-Jan,22-Feb
syring pump ,terumo  54-46,5,3,10
syring pump ,terumo  56-46,4,3,15
syring pump ,fresinius 135-56,5,3,15
syring pump ,fresinius 136-56,3,3,15
syring pump ,fresinius 139-56,3,2,15
fresinius ,blue-or  112-59,8,0,15
fresinius ,blue-or  113-59,3,0,10
fresinius ,blue-or  114-59,15,2,7
fresinius ,blue-or  115-59,15,0,7
fresinius ,blue-or  116-59,15,0,7
fresinius ,blue-or  120-59,15,5,7
fresinius ,blue-or  121-59,14,7,7
fresinius ,blue-or 122-59,14,6,1
fresinius ,blue-or  123-59,14,8,14
fresinius ,blue-or  124-59,14,15,1
fresinius ,blue-or 125-59,14,15,1
fresinius ,blue-gr 138-59,14,15,1
fresinius ,blue-gr 139-59,14,15,5
fresinius ,blue-gr 140-59,12,15,7
fresinius ,blue-gr 141-59,12,0,3
fresinius ,blue-gr 142-59,11,0,7
fresinius ,blue-gr 143-59,9,2,3
fresinius ,blue-gr 144-59,0,3,2
fresinius ,sky  25-63,7,5,15
fresinius ,sky 26-63,7,6,15
fresinius ,sky 27-63,7,9,14
fresinius ,sky 28-63,7,8,12
fresinius ,sky 29-63,0,5,10
fresinius ,sky 35-63,19,7,16
